"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
8.32709617681618 8.67770666265483 8.85732431039931 8.96885159188546 9.05254634644029 9.11173444231461 9.15766363477987 9.19223369490991 9.38513394724338 9.46123116802318 9.50824584292684 9.53574385235819
7.97753466625896 8.36999503435585 8.57241342752763 8.71392587760774 8.80048933719509 8.86422406072148 8.92163023934143 8.96566768840838 9.19657079982407 9.29507077031376 9.35599141371389 9.39689498877119
8.17595103391984 8.52100751446531 8.68879394847692 8.79574569758757 8.8767795139819 8.93563164326505 8.98063152323813 9.02140537624268 9.2187239200209 9.30387430934042 9.35481224207617 9.38775882768137
8.39305006771097 8.74328644641679 8.90916082947181 9.0169262648677 9.09082366583691 9.1439719659573 9.19202640927515 9.22960542649928 9.41757378602945 9.48660632363062 9.52648611655477 9.55304624277114
6.19357200348416 6.51552593464978 6.70348043172767 6.85653815623771 6.96612406370683 7.04124640518207 7.12860647931976 7.19813307051269 7.63252985642571 7.82433580454158 7.94762075394934 8.03296268341675
7.58207642315444 7.92914194979261 8.13707888436817 8.28706382756441 8.38872300184858 8.46411380393245 8.51533777343897 8.56047375606374 8.81715460717511 8.91116880202513 8.9757540893271 9.016069626247
6.49018292373746 6.96766145314789 7.23442229247447 7.43574676492612 7.60688778730127 7.71485782700018 7.79714438329268 7.86417859823035 8.29365805042625 8.51042503555392 8.63444311325648 8.70612879938079
7.37864210023575 7.80471372837078 8.02090315571675 8.14603482880416 8.24862213306442 8.3265823107278 8.39545699282694 8.44632821042548 8.74350965155687 8.86445778202859 8.9373106815897 8.98801140864739
5.30647266315238 5.6572192923756 5.89452184181052 6.08995271783075 6.24601564306625 6.3735997447337 6.47195763647886 6.54283556042754 6.98413491960628 7.16978853690417 7.28564883594025 7.36703548880022
6.44806371082504 7.0763423527806 7.38149504213952 7.58120117267533 7.73522994111568 7.8274987071338 7.92602857766783 8.02459494415398 8.4826913451209 8.72674162813471 8.86655769920065 8.95237874354987
8.20952117941462 8.59172645946249 8.79505859603915 8.92215466514547 9.00952314009923 9.06914708258604 9.12903033581318 9.17426440641869 9.39588263411078 9.48619125613784 9.53239592777656 9.56468411325526
7.99122733421949 8.37688400175555 8.56515280076337 8.69322937362138 8.77352877952083 8.84159672251521 8.89933242062172 8.9431708547517 9.17331346105887 9.26895295889381 9.32417725470711 9.36528170854063
6.43135531438593 6.76145043113831 6.96770733636708 7.11483658582271 7.23184625065177 7.30656430513103 7.39071629503505 7.4546288763283 7.8297380550443 7.99733408804792 8.1098268590568 8.18272936822779
8.12082660145578 8.48371045682399 8.66646821239507 8.78236250770478 8.86079161896287 8.92017086104553 8.97158860521693 9.01438201990972 9.21365425376065 9.30209530829675 9.35657605926179 9.39487065013633
8.03251820338915 8.33509492154009 8.47839799203538 8.59137555920899 8.66192977642293 8.71927337337105 8.75964700588477 8.79802149805888 8.98028397920702 9.05429346239368 9.10042712806478 9.13304002995907
7.46935437000553 7.96373684138613 8.18662203323355 8.37008953878264 8.48351786534552 8.58189535013118 8.65626106065152 8.71517273658417 9.05659963347858 9.19609669472141 9.27896459820486 9.33485638857528
5.14504388523087 5.48524333572979 5.68796191142492 5.84390867521945 5.95288538685646 6.03389180766113 6.13240014039189 6.22328317970507 6.73507438231861 6.97597521356307 7.12962955075266 7.24466678308877
6.72516106272894 7.10194140982213 7.32300647354374 7.45885196282897 7.57396766763239 7.64892893337101 7.72618896277662 7.78787890741186 8.13412884892956 8.30149605769157 8.40765343505021 8.48072515429066
7.33191482989423 7.62809877010007 7.78259814769035 7.89260779437594 7.98390702103978 8.04195764906824 8.1027276238775 8.16194928381001 8.46426219618487 8.58725592241232 8.66142823842157 8.71419762762432
6.05674211439323 6.38445720737261 6.56712319589184 6.71454086936122 6.82419858746336 6.90710616256198 6.98865991637915 7.05829081807648 7.46789400128289 7.6507545859441 7.77370900296139 7.85737464767154
6.37866353696863 6.66421800347465 6.83467303541132 6.97781796737921 7.09366425926987 7.15776477815451 7.23472152616123 7.30419270260525 7.69657737265708 7.86672786528531 7.97146910249496 8.04404035651238
7.84551451523028 8.26718552763014 8.50051163603356 8.62849685045892 8.74423668157374 8.82037669833398 8.88384169322417 8.9397858163197 9.22395699321415 9.34083554384996 9.4021162143334 9.44354066297282
7.51021038232069 8.00009209683015 8.26773738791194 8.42981560786444 8.57105943514313 8.64744096506762 8.72580216937007 8.79170836892316 9.14959105336244 9.31501937826888 9.41593006491592 9.48050354832342
6.62877090548108 6.92662275031676 7.0886321836824 7.23848778856768 7.34786856399316 7.42805975075975 7.50058641764583 7.55892381706368 7.88433347749346 8.02021480746107 8.1004697622198 8.16075071016648
7.05441609408916 7.46725682829846 7.68078699250899 7.84051001104826 7.93818756913679 8.00699365869957 8.08634647132478 8.15203514741998 8.51218245472648 8.67375499029111 8.77256518088283 8.83801946177746
5.27493954851222 5.78611279241486 6.05824434388052 6.25526303853986 6.39809380006171 6.49996741404406 6.56808091863243 6.6668871186559 7.09315622096341 7.29834076200845 7.41598151620756 7.50967313400225
6.94807204287434 7.37583493395994 7.58794364231399 7.74766494839329 7.85022767887874 7.93762400667412 8.0065433670928 8.06228437964753 8.38164388811952 8.52474259929101 8.62592511840754 8.69199838299619
7.96465503228491 8.30759612249189 8.49848774276455 8.63111953477016 8.7321864698863 8.79474263484739 8.84143935064255 8.88760292989646 9.11525857637188 9.20943275012169 9.26162723724633 9.29842589275821
4.06036525791337 4.37501414498728 4.6370619916064 4.84056142452079 4.96348976504027 5.04035495998441 5.09939896617514 5.1945618859424 5.67297786151148 5.8784346458906 5.97335200562119 6.05284850860402
7.5103534154207 7.83128957964806 8.00920164126594 8.13955072934798 8.2299704874745 8.2890307700331 8.34817053463755 8.40191482621998 8.68447054292124 8.7940566499266 8.86388939321879 8.91115610181755
