"","S.Score","G2M.Score","Phase"
"A2.MAA000848.3_10_M.1.1",0.228724738840783,-0.92996650358258,"S"
"A2.MAA001842.3_38_F.1.1",-0.67969948545586,-0.547888291611399,"G1"
"A2.MAA001844.3_38_F.1.1",-0.353113416755426,-0.0501462853327165,"G1"
"A2.MAA001884.3_38_F.1.1",-0.332990050810337,-0.546951570311265,"G1"
"A2.MAA001887.3_39_F.1.1",-0.515368491630136,-1.13270212019728,"G1"
"A2.MAA001888.3_39_F.1.1",-0.486415281745789,-0.47665958286755,"G1"
"A20.D041912.3_8_M.1.1",-0.866385277655235,-0.612686116565643,"G1"
"A20.D042044.3_9_M.1.1",2.98479500284772,2.77820065032097,"S"
"A20.D042193.3_8_M.1.1",-0.413685708334625,-1.13254386786977,"G1"
"A20.D042479.3_8_M.1.1",-0.722327825871752,-1.04612132765565,"G1"
"A20.D045139.3_39_F.1.1",-0.936234134196686,-0.561875494656772,"G1"
"A20.D045140.3_38_F.1.1",-0.453051437566429,0.0570452944543779,"G2M"
"A20.MAA000409.3_10_M.1.1",0.832686368777245,-1.23000343954573,"S"
"A20.MAA000600.3_8_M.1.1",0.80556513694406,-0.936717473976977,"S"
"A20.MAA000639.3_9_M.1.1",-0.504845762293308,-0.236230566183255,"G1"
"A20.MAA000652.3_10_M.1.1",-0.284644216150599,-0.550230268518843,"G1"
"A20.MAA000844.3_10_M.1.1",-0.210989044458755,-0.552904522355487,"G1"
"A20.MAA000848.3_10_M.1.1",1.13653524947458,-0.919084944322752,"S"
"A20.MAA001844.3_38_F.1.1",-0.409856351926559,-0.459047793892731,"G1"
"A20.MAA001883.3_39_F.1.1",-0.146467759574371,-0.587318575020378,"G1"
"A20.MAA001884.3_38_F.1.1",-0.0738810161266517,-0.790774020846849,"G1"
"A20.MAA001887.3_39_F.1.1",2.04436900273065,0.320597539356106,"S"
"A21.D041912.3_8_M.1.1",-1.3594109629988,-0.936137796358183,"G1"
"A21.D042044.3_9_M.1.1",2.26883411968805,3.00937937159099,"G2M"
"A21.D042193.3_8_M.1.1",-0.8257360826859,-0.617455623624429,"G1"
"A21.D042479.3_8_M.1.1",-0.545765065682999,-0.520947568347792,"G1"
"A21.D045139.3_39_F.1.1",-0.645452104765234,-0.563158143165208,"G1"
"A21.D045140.3_38_F.1.1",-0.432885323456123,-0.347037767899626,"G1"
"A21.MAA000409.3_10_M.1.1",-0.919082444125885,-0.329349173074361,"G1"
"A21.MAA000596.3_9_M.1.1",-0.271240669581067,-0.772315262966716,"G1"
"A21.MAA000600.3_8_M.1.1",0.0423140582527757,2.67827453795339,"G2M"
"A21.MAA000639.3_9_M.1.1",-0.575432907306409,-0.164553545622253,"G1"
"A21.MAA000844.3_10_M.1.1",-0.494043187458716,-0.533608245272403,"G1"
"A21.MAA000848.3_10_M.1.1",-0.124293162079293,-1.18319037640726,"G1"
"A21.MAA001844.3_38_F.1.1",0.487320322941943,-0.557800648028259,"S"
"A21.MAA001883.3_39_F.1.1",-0.691770832028882,-0.284080228861133,"G1"
"A21.MAA001884.3_38_F.1.1",-0.296635376852406,-0.647489094784637,"G1"
"A21.MAA001887.3_39_F.1.1",1.5194249248804,-0.482379575973323,"S"
"A22.D041912.3_8_M.1.1",-0.753987103735909,-0.505079876088091,"G1"
"A22.D042044.3_9_M.1.1",-0.752115591924251,-0.416259014970892,"G1"
"A22.D042193.3_8_M.1.1",-0.431365734804904,-0.375626423269932,"G1"
"A22.D042479.3_8_M.1.1",1.42974957043872,2.18483611049036,"G2M"
"A22.D045140.3_38_F.1.1",-0.376616580274579,-0.104570598460087,"G1"
"A22.MAA000409.3_10_M.1.1",-0.666242235229145,-0.518055101338912,"G1"
"A22.MAA000596.3_9_M.1.1",-0.425359386971736,-1.02512392428653,"G1"
"A22.MAA000600.3_8_M.1.1",-0.623615611734,-0.957684854361187,"G1"
"A22.MAA000639.3_9_M.1.1",-0.683004101556969,-0.438992286266238,"G1"
"A22.MAA000652.3_10_M.1.1",-0.242478186869006,-0.367748329933372,"G1"
"A22.MAA000844.3_10_M.1.1",-0.430500119386118,-0.311468172601472,"G1"
"A22.MAA000848.3_10_M.1.1",-0.506454274829164,-0.922005579384785,"G1"
"A22.MAA001844.3_38_F.1.1",1.26273539673218,2.31272632195903,"G2M"
"A22.MAA001883.3_39_F.1.1",-0.79614938028778,-0.546338986057391,"G1"
"A22.MAA001884.3_38_F.1.1",-0.506400257469898,-0.459696188900018,"G1"
"A22.MAA001887.3_39_F.1.1",-0.310431890122961,-1.01679913454078,"G1"
"A3.D041912.3_8_M.1.1",2.1591299689668,0.390632989910787,"S"
"A3.D042044.3_9_M.1.1",-0.932505467468295,-0.396640210380786,"G1"
"A3.D042479.3_8_M.1.1",-0.0628507820654221,-0.138930693804953,"G1"
"A3.D045139.3_39_F.1.1",-0.650165613563944,-0.41237529605946,"G1"
"A3.D045140.3_38_F.1.1",-0.510954304751888,0.188085024830236,"G2M"
"A3.MAA000409.3_10_M.1.1",-0.179175651817417,-0.353411990325337,"G1"
"A3.MAA000600.3_8_M.1.1",1.0179867497925,-0.719732635676697,"S"
"A3.MAA000639.3_9_M.1.1",-0.867375801505035,2.64731248100324,"G2M"
"A3.MAA000652.3_10_M.1.1",-0.381309756066585,-0.45853606967385,"G1"
"A3.MAA000844.3_10_M.1.1",-0.218972293952445,-0.334651003397915,"G1"
"A3.MAA000848.3_10_M.1.1",-0.348417854911897,-0.945505572009851,"G1"
"A3.MAA001842.3_38_F.1.1",-0.752131059236898,-0.752475013365373,"G1"
"A3.MAA001844.3_38_F.1.1",-0.832414750377815,-0.701038315460421,"G1"
"A3.MAA001883.3_39_F.1.1",-0.415088440880499,-0.313043586025252,"G1"
"A3.MAA001884.3_38_F.1.1",-0.483422697887001,-0.379958889696647,"G1"
"A3.MAA001887.3_39_F.1.1",-0.506622441978506,3.0232398673973,"G2M"
"A4.D041912.3_8_M.1.1",-0.0734739849258859,2.65596665367079,"G2M"
"A4.D042193.3_8_M.1.1",-0.625400213326944,-0.399585451891519,"G1"
"A4.D042479.3_8_M.1.1",2.30167374058521,0.200965499403581,"S"
"A4.MAA000409.3_10_M.1.1",-0.808688662210258,-0.569081246305017,"G1"
"A4.MAA000600.3_8_M.1.1",1.57346832974774,-0.630041061709443,"S"
